	winner	score
0	Durham	160.0
3	Surrey	158.0
4	Worcestershire	151.0
5	Gloucestershire	126.0
9	Kent	147.0
11	Nottinghamshire	124.0
12	Surrey	145.0
18	Derbyshire	95.0
19	Gloucestershire	129.0
20	Lancashire	104.0
21	Middlesex	165.0
34	Middlesex	136.0
44	Sussex	115.0
47	Surrey	119.0
55	Eastern Cape	116.0
57	Dolphins	153.0
62	Titans	147.0
67	Kent	157.0
70	Nottinghamshire	122.0
81	Nottinghamshire	210.0
93	Middlesex	121.0
101	Yorkshire	170.0
103	Durham	129.0
106	Lancashire	82.0
111	Glamorgan	161.0
117	Leicestershire	169.0
118	Bloomfield Cricket and Athletic Club	135.0
119	Burgher Recreation Club	137.0
122	Colts Cricket Club	106.0
126	Bloomfield Cricket and Athletic Club	121.0
127	Colts Cricket Club	135.0
128	Chilaw Marians Cricket Club	115.0
135	Lions	134.0
138	Titans	151.0
140	Eagles	132.0
141	Warriors	137.0
143	Titans	203.0
144	Warriors	143.0
149	Titans	151.0
151	Titans	125.0
156	Faisalabad Wolves	96.0
158	Lahore Eagles	215.0
159	Lahore Lions	116.0
164	Faisalabad Wolves	167.0
169	Lahore Eagles	142.0
172	Derbyshire	134.0
175	Leicestershire	147.0
180	Sussex	110.0
184	Gloucestershire	132.0
193	Gloucestershire	166.0
196	Hampshire	155.0
197	Lancashire	149.0
200	Durham	180.0
204	Yorkshire	198.0
206	Middlesex	145.0
234	Glamorgan	129.0
235	Derbyshire	142.0
238	Leicestershire	178.0
258	Faisalabad Wolves	142.0
261	Bloomfield Cricket and Athletic Club	86.0
267	Sri Lanka Air Force Sports Club	115.0
268	Tamil Union Cricket and Athletic Club	150.0
276	Ragama Cricket Club	133.0
281	Bloomfield Cricket and Athletic Club	92.0
283	Chilaw Marians Cricket Club	133.0
289	Bloomfield Cricket and Athletic Club	69.0
299	Ragama Cricket Club	161.0
307	Victoria	114.0
308	New South Wales	168.0
312	Canterbury	157.0
317	Auckland	157.0
322	Lions	102.0
324	Titans	116.0
328	Eagles	132.0
330	Titans	180.0
339	Eagles	113.0
346	Lahore Lions	202.0
347	Abbottabad Rhinos	144.0
348	Faisalabad Wolves	123.0
349	Lahore Lions	111.0
355	Lahore Eagles	175.0
356	Lahore Lions	121.0
360	Lahore Eagles	160.0
372	Peshawar Panthers	141.0
374	Faisalabad Wolves	108.0
375	Karachi Zebras	151.0
378	Faisalabad Wolves	150.0
386	Sussex	153.0
387	Yorkshire	123.0
388	Derbyshire	118.0
389	Glamorgan	164.0
398	Durham	139.0
404	Essex	162.0
405	Glamorgan	186.0
406	Sussex	126.0
415	Gloucestershire	165.0
417	Nottinghamshire	137.0
427	Essex	178.0
432	Surrey	116.0
436	Essex	160.0
439	Lancashire	93.0
440	Worcestershire	200.0
447	Middlesex	116.0
448	Nottinghamshire	142.0
451	Yorkshire	137.0
455	Leicestershire	156.0
456	Essex	149.0
464	Nevis	104.0
465	St Vincent	96.0
468	Guyana	116.0
479	Guyana	176.0
481	Auckland	153.0
482	Northern Districts	177.0
504	Lahore Lions	150.0
511	New Zealand	116.0
523	Victoria	206.0
526	South Africa	132.0
527	Auckland	150.0
532	Canterbury	170.0
533	Wellington	152.0
537	Wellington	182.0
543	Bloomfield Cricket and Athletic Club	125.0
544	Chilaw Marians Cricket Club	126.0
546	Tamil Union Cricket and Athletic Club	117.0
548	Moors Sports Club	116.0
549	Saracens Sports Club	152.0
550	Sri Lanka Army	91.0
553	Saracens Sports Club	89.0
554	Tamil Union Cricket and Athletic Club	176.0
555	Bloomfield Cricket and Athletic Club	131.0
557	Moors Sports Club	159.0
561	Sinhalese Sports Club	63.0
562	Tamil Union Cricket and Athletic Club	160.0
563	Burgher Recreation Club	114.0
565	Panadura Sports Club	161.0
566	Ragama Cricket Club	132.0
567	Ragama Cricket Club	149.0
571	Lions	182.0
573	Cape Cobras	140.0
574	Titans	170.0
577	Warriors	135.0
581	Lions	175.0
584	Warriors	155.0
585	Cape Cobras	140.0
587	Lions	148.0
597	Madhya Pradesh	116.0
599	Railways	164.0
611	Rajasthan	142.0
617	Madhya Pradesh	102.0
620	Rajasthan	158.0
623	Delhi	163.0
624	Goa	154.0
625	Haryana	76.0
626	Himachal Pradesh	124.0
630	Uttar Pradesh	138.0
633	Bengal	160.0
638	Karnataka	135.0
641	Punjab	115.0
642	Railways	115.0
644	Bengal	134.0
646	Haryana	114.0
657	Karnataka	154.0
659	Railways	104.0
667	Railways	163.0
670	England	173.0
671	Lancashire	152.0
673	Surrey	168.0
677	Essex	171.0
680	Nottinghamshire	167.0
681	Kent	46.0
682	Surrey	75.0
689	Gloucestershire	103.0
693	Glamorgan	143.0
694	Durham	104.0
701	Essex	175.0
713	Yorkshire	66.0
714	Hampshire	100.0
728	Northamptonshire	101.0
729	Yorkshire	65.0
735	Gloucestershire	117.0
742	Yorkshire	122.0
743	Gloucestershire	131.0
747	Gloucestershire	152.0
748	Kent	141.0
756	South Africa	208.0
760	Bangladesh	165.0
764	Australia	136.0
767	South Africa	146.0
769	Australia	124.0
775	South Africa	158.0
777	Australia	102.0
783	India	167.0
784	South Africa	131.0
789	Tasmania	161.0
791	Western Australia	187.0
792	Tasmania	131.0
794	Western Australia	157.0
800	Queensland	177.0
803	South Africa	134.0
804	Australia	75.0
805	Northern Districts	133.0
812	Wellington	143.0
813	Northern Districts	147.0
814	Wellington	117.0
815	Northern Districts	186.0
817	Central Districts	173.0
818	Auckland	184.0
820	Central Districts	150.0
826	Montserrat	70.0
838	Jamaica	123.0
847	Centrals	124.0
849	Easterns (Zimbabwe)	131.0
850	Northerns (Zimbabwe)	170.0
863	Dolphins	132.0
868	Dolphins	92.0
869	Cape Cobras	87.0
871	Cape Cobras	128.0
876	Dolphins	115.0
882	Kandurata	137.0
883	Ruhuna	70.0
889	Ruhuna	127.0
899	Delhi Daredevils	132.0
900	Kolkata Knight Riders	112.0
902	Rajasthan Royals	168.0
907	Chennai Super Kings	152.0
909	Kings XI Punjab	162.0
920	Rajasthan Royals	110.0
923	Mumbai Indians	104.0
926	Rajasthan Royals	141.0
929	Rajasthan Royals	159.0
930	Kings XI Punjab	144.0
932	Mumbai Indians	158.0
934	Mumbai Indians	68.0
944	Kings XI Punjab	178.0
946	Delhi Daredevils	179.0
948	Kolkata Knight Riders	175.0
949	Rajasthan Royals	146.0
954	Chennai Super Kings	116.0
956	England	127.0
957	West Indies	102.0
961	Kent	140.0
965	Middlesex	116.0
967	Worcestershire	169.0
984	Surrey	142.0
985	Kent	166.0
987	Middlesex	144.0
989	Northamptonshire	171.0
995	Yorkshire	154.0
1001	Nottinghamshire	150.0
1007	Durham	123.0
1012	Derbyshire	122.0
1016	Sussex	165.0
1017	Warwickshire	134.0
1021	Lancashire	154.0
1022	Hampshire	151.0
1023	Gloucestershire	135.0
1026	Warwickshire	177.0
1027	Worcestershire	163.0
1057	Ireland	118.0
1058	Canada	99.0
1062	Ireland	72.0
1063	Netherlands	110.0
1075	Multan Tigers	104.0
1077	Lahore Eagles	88.0
1081	Islamabad Leopards	142.0
1086	Sri Lanka	107.0
1089	Pakistan	141.0
1090	Pakistan	110.0
1099	Stanford Superstars	101.0
1104	Australia	161.0
1110	Victoria	184.0
1112	Western Australia	132.0
